county,state,# total covid cases,# covid cases per 100k,# covid deaths,population,# covid deaths per 100k,case_fatality_rate
Cherokee County,Oklahoma,14523,29847.70947653986,118,48656,242,0.00812504297923953
Berkeley County,West Virginia,36247,30415.95690226649,295,119170,247,0.008138604551718475
Tyrrell County,North Carolina,982,24452.19123505976,8,4015,199,0.008146638681605022
Elbert County,Colorado,4880,18257.323506304012,40,26728,149,0.008196721143509812
Howard County,Maryland,46116,14159.476803094967,378,325689,116,0.008196721293701272
Wright County,Minnesota,37182,26870.072338611186,305,138376,220,0.008202893851318128
Calumet County,Wisconsin,14749,29445.586855397396,121,50088,241,0.008203945974615596
Weld County,Colorado,85671,26401.575385525684,703,324491,216,0.008205810591441898
Park County,Montana,4260,25653.378297001083,35,16605,210,0.00821596224845159
Brown County,Illinois,2430,36941.3195500152,20,6577,304,0.008230452336195376
Albany County,New York,63461,20772.423454858497,523,305505,171,0.00824128203425524
Otsego County,New York,10667,17929.840485435263,88,59492,147,0.008249742118217473
Sauk County,Wisconsin,16479,25571.832035008225,136,64441,211,0.008252927918848667
Marin County,California,35485,13709.982768346303,293,258825,113,0.008257009980958123
Milwaukee County,Wisconsin,277430,29335.135123703905,2292,945725,242,0.008261543449424523
Del Norte County,California,5921,21289.371494319,49,27811,176,0.008275628976935838
Humboldt County,California,17633,13007.716254297053,146,135557,107,0.00827992963035258
Hennepin County,Minnesota,312909,24719.416230922794,2593,1265842,204,0.008286754293329129
Kitsap County,Washington,41506,15289.181612904415,344,271472,126,0.008287958347496849
Mineral County,Colorado,241,31339.401820546165,2,768,260,0.008298751743256538
Cuming County,Nebraska,1806,20416.007234908433,15,8845,169,0.00830564738063968
Jim Hogg County,Texas,2648,50923.07692307692,22,5199,423,0.00830815678594574
Pender County,North Carolina,15405,24429.115128449095,128,63059,202,0.008308990533534628
DeKalb County,Illinois,24537,23391.51739325243,204,104896,194,0.008313974779663467
Doddridge County,West Virginia,2162,25591.85606060606,18,8447,213,0.008325624036742644
Cedar County,Iowa,4201,22553.28286895367,35,18626,187,0.008331349480329696
Polk County,Oregon,15243,17706.917581460184,127,86084,147,0.008331693181580443
Pontotoc County,Oklahoma,12121,31660.746003552398,101,38283,263,0.008332645752556343
Grant County,Washington,25922,26523.282821564873,216,97732,221,0.008332690346683548
Ontario County,New York,21586,19663.499640179638,180,109776,163,0.008338738032341619
Okeechobee County,Florida,10649,25253.74691709353,89,42167,211,0.00835759218370183
Grant County,Kentucky,7177,28628.984004148548,60,25068,239,0.008360038897031644
Ascension Parish,Louisiana,35030,27668.952007835454,293,126603,231,0.008364259182517103
Charleston County,South Carolina,112905,27443.69309149599,945,411405,229,0.00836986846608222
Sequoyah County,Oklahoma,10633,25579.15754528615,89,41568,214,0.008370168265116447
Calhoun County,Texas,5731,26918.74119304838,48,21289,225,0.008375501511507564
Yolo County,California,37722,17107.482993197278,316,220499,143,0.008377074364092376
Craven County,North Carolina,24698,24180.773259969257,207,102138,202,0.008381245411040386
Glenn County,California,5003,17620.5402740112,42,28392,147,0.00839496285438811
Golden Valley County,North Dakota,476,27030.096536059056,4,1760,227,0.008403359579126139
Todd County,Minnesota,6898,27967.88842036977,58,24663,235,0.008408234148909333
Howard County,Nebraska,1189,18448.40961986036,10,6444,155,0.008410428224522436
Marquette County,Michigan,15424,23124.78447952743,130,66698,194,0.008428423181869663
Ventura County,California,176324,20841.93256312603,1496,846005,176,0.008484381021026983
Benton County,Indiana,2475,28292.181069958846,21,8747,240,0.008484848142026337
Thurston County,Washington,49071,16889.817440867915,417,290535,143,0.00849789079395592
St. Lawrence County,New York,22454,20840.913309819938,191,107739,177,0.008506279466882162
Cavalier County,North Dakota,822,21850.079744816587,7,3761,186,0.00851581404917104
Seward County,Kansas,6916,32275.52734739593,59,21427,275,0.008530942618118239
Fond du Lac County,Wisconsin,32524,31453.63287332089,278,103402,268,0.008547534102362765
Orange County,New York,111213,28890.995999376526,954,384939,247,0.008578133843545149
Bay County,Florida,45926,26287.742193984144,394,174704,225,0.008579018402257941
Nobles County,Minnesota,6980,32271.487354940124,60,21628,277,0.008595988415530251
Chatham County,North Carolina,13262,17808.51349536726,114,74469,153,0.008595988473865265
Whitley County,Indiana,9649,28409.492403721586,83,33963,244,0.008601927571749119
Berkeley County,South Carolina,52240,22921.630314119357,450,227906,197,0.008614088804337503
Warren County,Kentucky,43102,32432.879845894535,372,132895,279,0.00863068997115983
Kings County,California,51787,33860.99123839414,447,152939,292,0.008631509821709097
Perquimans County,North Carolina,2780,20649.186659734085,24,13462,178,0.008633093214636935
Burleigh County,North Dakota,35087,36691.903875515025,303,95625,316,0.00863567700676696
Schenectady County,New York,35317,22741.292603300728,305,155298,196,0.008636067591709184
Juneau County,Wisconsin,7859,29448.79529358864,68,26686,254,0.008652500208009922
Switzerland County,Indiana,2310,21486.373360617617,20,10750,186,0.008658008283203103
York County,South Carolina,78263,27853.68301545667,678,280978,241,0.008663097493498719
Davidson County,Tennessee,192129,27678.55084823898,1670,694143,240,0.008692076673124787
Rich County,Utah,345,13894.482480869914,3,2482,120,0.008695649653434884
Carteret County,North Carolina,14255,20518.76268478402,124,69472,178,0.008698702148728853
Craighead County,Arkansas,37767,34230.32302505166,329,110331,298,0.008711308791507643
Divide County,North Dakota,459,20273.851590106005,4,2263,176,0.008714595051286482
Delaware County,New York,8261,18717.57108870511,72,44134,163,0.008715651752624964
Portage County,Wisconsin,18469,26096.47883343695,161,70771,227,0.008717310039973414
Cabarrus County,North Carolina,56620,26158.103606787616,494,216452,228,0.008724832199355648
Sargent County,North Dakota,1031,26449.461262185734,9,3897,230,0.008729388096082629
Beaufort County,South Carolina,43530,22657.478060815523,380,192121,197,0.008729611741948974
Albemarle County,Virginia,18671,17077.65480654898,163,109329,149,0.00873011617626203
Forsyth County,North Carolina,94312,24669.95383146523,824,382294,215,0.008736958172091613
Carbon County,Utah,5264,25724.478326736058,46,20462,224,0.008738601657701336
Polk County,Iowa,126409,25789.28148098278,1105,490160,225,0.00874146618615647
St. Lucie County,Florida,75157,22892.990188762004,657,328296,200,0.008741700694889762
Fluvanna County,Virginia,5260,19288.595526219287,46,27269,168,0.008745246982029525
Cayuga County,New York,17375,22689.876723777685,152,76575,198,0.00874820138849956
Warren County,New York,14739,23049.856124108595,129,63943,201,0.008752289783891106
Lane County,Oregon,57237,14980.880316803075,502,382066,131,0.008770550502698342
Clarke County,Georgia,26409,20578.815718727354,232,128330,180,0.008784883907815956
Clark County,Washington,91435,18727.431739653162,804,488240,164,0.008793131723308216
Washington County,Wisconsin,38986,28659.011717658817,343,136033,252,0.008798030039506414
Rice County,Kansas,2614,27409.038481702843,23,9536,241,0.008798775485892292
Dorchester County,South Carolina,56325,34595.753306021164,496,162808,304,0.008806036380282226
Merrick County,Nebraska,1703,21960.025789813026,15,7754,193,0.008807985390018473
Onondaga County,New York,121727,26432.051905638746,1073,460527,232,0.00881480689673219
Franklin County,Ohio,296037,22482.2974036192,2610,1316755,198,0.008816465506400731
Dawes County,Nebraska,1361,15845.849342181862,12,8588,139,0.00881704564165719
Galveston County,Texas,96616,28238.815218376156,853,342138,249,0.008828765412738299
Jefferson County,Montana,2601,21283.037394648556,23,12220,188,0.008842752447414361
Dimmit County,Texas,5760,56894.50809956539,51,10123,503,0.008854166512948498
Prince George County,Virginia,8917,23249.810966547597,79,38352,205,0.008859481789172572
Madison County,New York,14319,20184.37856810589,127,70940,179,0.008869334388788782
Suffolk County,Massachusetts,226017,28114.819251480578,2006,803906,249,0.00887543856927778
Posey County,Indiana,6528,25673.496676760922,58,25426,228,0.008884803785465628
El Paso County,Colorado,190541,26449.22355959095,1695,720402,235,0.008895723225502267
Jackson County,Illinois,15840,27911.894273127753,141,56749,248,0.008901515095318719
Benton County,Washington,53006,25933.75409755859,472,204389,230,0.008904652286713482
Rock County,Wisconsin,44315,27128.2001052928,395,163353,241,0.008913460433457159
