county,state,# total covid cases,# covid cases per 100k,# covid deaths,population,# covid deaths per 100k,case_fatality_rate,hispanic,minority,female,unemployed,income,nodegree,bachelor,inactivity,obesity,density,cancer,voter_turnout,voter_gap,trump,biden
Alcorn County,Mississippi,10080,27277.893540443263,160,36952,432,0.01587301571554548,3.0,16.800000000000008,50.74109875946512,5.7,35180,21.4,16.2,36.0,37.9,69.8,271.7,44.11449399656947,63.60000000000001,81.10000000000001,17.5
Corson County,South Dakota,1070,26186.979931473325,17,4085,416,0.01588784898244402,0.7,70.7,49.12616710557817,5.2,31420,16.9,14.1,26.8,40.9,39.5,215.9,52.34026745913819,1.8999999999999984,50.4,48.5
Columbia County,Pennsylvania,15476,23822.42472754141,246,64963,378,0.01589558015058426,2.6,6.599999999999994,51.835172258500336,5.5,46938,11.2,21.2,24.5,37.9,44.2,247.0,43.42845510400474,30.90000000000001,64.60000000000001,33.7
Bertie County,North Carolina,4277,22573.494484614977,68,18946,358,0.015898994250666487,2.1,65.7,49.495304574900814,7.3,31217,25.1,11.1,30.5,35.5,57.7,272.8,39.82587064676617,-21.4,39.0,60.4
Wilcox County,Alabama,2892,27880.07326713583,46,10372,443,0.015905946891218985,0.5,73.10000000000001,53.32905943767744,14.7,24035,21.4,11.5,34.0,44.9,13.1,258.0,28.401070820150885,-37.60000000000001,31.0,68.60000000000001
Stokes County,North Carolina,11315,24818.49487837512,180,45590,394,0.015908086470100873,2.8,8.700000000000001,51.09921082299888,5.4,45065,19.5,13.6,31.6,33.8,153.3,227.2,29.818531756942534,57.7,78.3,20.6
McCurtain County,Oklahoma,8108,24695.41910331384,129,32831,392,0.01591021193993325,5.7,36.89999999999999,50.74183976261127,7.7,34964,19.0,14.2,36.5,35.3,60.5,185.3,52.65092080270873,66.49999999999999,82.69999999999999,16.2
Taylor County,West Virginia,4585,27463.312368972747,73,16694,437,0.015921482749804084,0.4,3.900000000000006,49.07816457560229,6.0,40305,15.3,15.8,32.0,37.0,97.8,233.0,45.47617277525834,49.8,74.2,24.4
Crawford County,Pennsylvania,20080,23727.091186236397,320,84628,378,0.01593625490071586,1.2,4.900000000000014,51.065667207848286,5.0,43969,12.6,19.6,28.2,34.5,139.3,228.6,39.42942146812772,37.400000000000006,68.10000000000001,30.7
Graves County,Kentucky,11355,30470.133633875383,181,37265,485,0.015940114346630434,6.1,12.9,50.94876405700636,6.3,39247,19.1,16.7,27.2,30.1,95.6,200.4,37.82243332115455,56.70000000000001,77.60000000000001,20.9
Kanabec County,Minnesota,3575,21882.842627165333,57,16336,348,0.015944055498068377,1.5,4.7999999999999945,49.20366190117883,6.8,48908,12.9,13.4,24.3,29.9,14.6,230.8,25.804375804375805,38.000000000000014,68.10000000000001,30.1
Caddo County,Oklahoma,8278,28781.030526388986,132,28761,458,0.015945880454869773,12.1,42.6,47.74263681761049,5.0,39933,15.9,15.0,32.9,37.0,46.9,233.9,52.98073254483023,43.99999999999999,71.1,27.1
Covington County,Mississippi,7086,38023.180940115904,113,18635,606,0.015946937398434415,2.4,39.29999999999999,51.9142499478406,5.9,31835,22.3,14.5,32.0,36.3,37.9,216.2,34.86122792262405,26.1,62.5,36.4
Paulding County,Ohio,4639,24844.687232219367,74,18671,396,0.015951713387546595,4.6,7.500000000000003,49.90765658804285,4.8,47358,10.1,12.7,25.6,29.9,162.5,273.2,34.79940982224408,51.19999999999999,74.6,23.4
Craig County,Virginia,1128,21984.018709803157,18,5130,350,0.015957445393843493,0.0,0.6000000000000011,50.78931982069772,5.5,46551,10.2,13.1,22.9,27.8,15.7,231.8,23.874849578820697,61.6,80.2,18.6
Colbert County,Alabama,16356,29608.443004290293,261,55240,472,0.01595744671094738,2.4,21.2,51.97391384219712,7.9,43057,16.4,17.6,31.4,37.5,91.8,258.8,41.538096930915984,41.6,70.19999999999999,28.6
Branch County,Michigan,11404,26205.85058712687,182,43516,418,0.01595931238197727,4.5,9.1,48.28789931791562,4.9,46371,13.0,13.1,27.6,31.8,276.2,243.3,37.219963935328096,38.5,68.5,30.0
Hill County,Montana,4574,27748.11938849794,73,16483,442,0.015959772278973057,3.5,29.8,49.40490648530484,4.2,43509,7.8,23.5,27.2,33.4,1.8,235.1,39.4167371090448,13.6,55.1,41.5
Reeves County,Texas,4636,29018.527791687527,74,15975,463,0.015962035893830114,75.0,81.8,39.57136096274761,4.8,39006,37.6,10.6,24.5,28.3,12.4,316.0,58.75699888017917,23.300000000000004,61.1,37.8
Letcher County,Kentucky,7140,33127.63884378045,114,21552,528,0.01596638633100299,0.7,2.299999999999987,51.0364608230846,11.2,28574,24.8,11.9,34.6,38.6,28.2,312.2,49.156787443646685,59.400000000000006,79.10000000000001,19.7
Richland County,Ohio,31806,26252.53809201512,508,121153,419,0.01597182916439719,1.8,14.2,49.24670665580542,5.6,41948,13.3,15.9,28.9,32.8,71.5,178.4,37.94830525524412,39.79999999999999,69.19999999999999,29.4
Panola County,Mississippi,10566,30901.965372016846,169,34191,494,0.015994699829692413,1.7,52.7,51.64042186450087,8.8,34526,22.2,14.9,36.1,36.0,104.0,121.2,38.75694996028594,4.500000000000007,51.7,47.2
Brown County,Ohio,11248,25897.955424571745,180,43431,414,0.01600284480794057,0.9,3.4000000000000106,50.471471951414415,6.2,46484,17.3,11.4,28.0,33.7,132.3,261.0,38.53274013914186,56.900000000000006,77.9,21.0
Middlesex County,Connecticut,30049,18498.978059050947,481,162435,296,0.01600718820590639,5.9,15.599999999999984,51.113887026994085,4.8,76365,6.2,39.7,18.6,24.1,448.6,207.4,,,,
Carter County,Missouri,1499,25058.508859913072,24,5981,401,0.01601067271443144,2.3,5.400000000000007,52.34212629896084,7.5,32170,22.6,14.8,29.9,31.1,13.4,280.3,38.43220338983051,69.9,84.3,14.4
Ottawa County,Ohio,8618,21265.885256014804,138,40524,340,0.016012995868960364,4.9,7.700000000000008,50.27594495817901,6.6,50345,7.7,21.4,29.1,30.6,36.8,186.9,28.283998414779138,23.099999999999994,60.7,37.6
Jackson County,Alabama,15049,29150.040677178164,241,51625,466,0.016014353006748933,2.9,10.70000000000001,50.86190421587739,6.6,36923,24.7,12.9,30.9,32.0,49.4,279.2,41.96990558615264,67.5,83.2,15.7
Sebastian County,Arkansas,32837,25688.62603362357,526,127826,411,0.016018515649972545,13.7,29.59999999999999,51.17853048790063,5.0,39907,17.6,19.7,30.4,36.9,236.4,207.1,47.71786085034659,35.5,66.2,30.7
Morgan County,West Virginia,4307,24082.979199284277,69,17883,385,0.01602043148315692,1.4,4.300000000000002,50.75385494003427,5.5,44446,17.9,16.5,28.9,32.6,76.6,294.5,38.2939464906678,52.2,75.2,23.0
Rhea County,Tennessee,9981,30093.164892815144,160,33166,482,0.016030457709343176,4.6,9.000000000000002,50.65274955354394,7.6,37952,23.2,11.7,38.3,30.4,180.3,224.4,44.52054794520548,63.70000000000001,81.10000000000001,17.4
Washington County,Texas,9232,25728.777660108135,148,35881,412,0.016031195666906462,15.5,35.5,50.38797703868232,4.8,55139,19.1,23.1,23.9,29.6,12.8,221.1,31.51870353616804,50.00000000000001,74.4,24.4
Pawnee County,Oklahoma,4115,25128.236443575966,66,16375,403,0.016038881748751354,2.8,22.79999999999999,50.06079766536965,5.6,43476,12.3,16.5,32.1,33.9,67.6,296.4,45.42383786392151,57.50000000000001,77.60000000000001,20.1
McPherson County,Kansas,7852,27510.335645715088,126,28541,441,0.016046866835877905,4.0,8.2,50.54876354542929,3.0,57878,11.1,26.7,26.2,29.2,39.8,183.3,36.516365300984205,40.3,69.0,28.7
Lewis County,West Virginia,5359,33689.57062928271,86,15906,540,0.016047769806908568,1.3,3.4000000000000083,49.92364547064932,8.2,40568,14.7,14.9,29.6,35.9,42.5,306.4,41.66014708183384,56.900000000000006,77.5,20.6
Lincoln County,Kansas,623,21033.085752869683,10,2961,337,0.016051361789508542,3.0,4.299999999999999,50.17622556872797,3.5,44896,8.3,21.1,20.8,31.2,164.7,168.4,34.00588482555696,64.2,81.10000000000001,16.900000000000002
Hancock County,Ohio,17253,22766.319623134477,277,75782,365,0.016055178716425093,5.2,10.399999999999991,50.72177782486624,3.7,51498,8.2,24.9,22.4,31.4,1976.7,208.9,33.16859544830982,37.50000000000001,67.9,30.4
Whitfield County,Georgia,27341,26131.6282448293,439,104627,419,0.01605647190645378,34.2,40.5,50.39966141800448,6.3,43731,31.5,14.3,27.8,33.5,353.2,169.8,40.79719017851389,40.8,69.8,29.0
Defiance County,Ohio,10275,26977.708929556018,165,38086,433,0.01605839400429787,9.6,13.099999999999984,50.48680535616402,4.9,53026,10.9,16.3,28.7,32.9,88.5,241.2,34.629387923335855,36.30000000000001,67.10000000000001,30.8
Pike County,Kentucky,19099,32999.861773446675,307,57875,530,0.01607413992316802,0.9,3.0000000000000027,51.18533432923067,9.5,32666,28.3,12.5,34.6,38.9,84.5,308.0,47.65707211389663,60.7,79.9,19.2
Grainger County,Tennessee,6780,29073.756432247,109,23319,467,0.01607669592807233,3.0,5.09999999999999,50.38357597419579,6.8,35704,22.6,11.1,35.2,35.0,48.3,265.9,43.013960819635216,70.1,84.6,14.499999999999998
Jay County,Indiana,4851,23737.522019964767,78,20435,381,0.016079158604841094,3.0,4.90000000000001,50.91675747382385,5.0,38663,15.8,10.2,32.5,34.0,59.8,238.8,45.34538411878631,52.39999999999999,75.1,22.7
DeKalb County,Tennessee,6279,30644.216691068814,101,20489,492,0.016085363655273712,7.6,11.1,49.922600619195045,7.0,38595,22.8,13.8,32.9,31.8,35.2,312.2,40.31873069362539,57.80000000000001,78.4,20.6
Isle of Wight County,Virginia,7395,19927.780322832736,119,37108,320,0.016091953805382638,2.8,29.2,51.091715156553065,4.6,64350,13.7,26.1,23.7,29.3,111.8,230.3,16.85943376144185,18.4,58.5,40.1
Hickman County,Tennessee,6831,27130.828501072363,110,25177,436,0.016103059345585428,2.3,9.400000000000007,47.636927597747125,5.7,37443,24.7,11.2,32.7,32.1,57.5,324.2,48.24990788988895,55.400000000000006,77.10000000000001,21.7
Rio Grande County,Colorado,2856,25348.362474483,46,11266,408,0.01610644201307976,44.6,47.8,49.877515310586176,6.3,40593,16.2,20.9,17.1,23.2,13.1,175.9,23.869559946660203,18.39999999999999,57.99999999999999,39.6
Dauphin County,Pennsylvania,59830,21498.460289113507,964,278298,346,0.016112318208069,8.5,32.900000000000006,51.58581782394111,4.5,52967,11.3,28.2,23.2,32.5,431.6,198.6,28.89245427879599,-8.5,45.1,53.6
Philadelphia County,Pennsylvania,317128,20019.89818593188,5110,1584063,322,0.016113367467989782,14.1,65.10000000000001,52.70227826843698,6.9,39037,18.6,24.5,25.7,29.8,83.4,226.3,37.15713219958145,-63.10000000000001,18.1,81.2
Sequatchie County,Tennessee,4218,28071.343005457205,68,15025,452,0.01612138416023271,3.5,14.1,50.66875938310359,6.7,44111,18.0,13.1,32.1,28.3,41.8,280.1,35.750421585160204,62.90000000000001,80.80000000000001,17.9
Perry County,Kentucky,11040,42860.47053342651,178,25757,691,0.01612318825975373,1.0,4.400000000000008,50.54337882835084,8.9,31265,30.0,13.0,35.5,37.0,53.7,212.8,49.55769047845525,54.3,76.5,22.2
Pulaski County,Kentucky,18157,27942.87385155204,293,64978,450,0.016137026953037245,2.4,5.799999999999997,50.911307718760746,6.0,32767,19.9,14.5,30.8,33.6,70.5,318.9,35.57698200314587,62.7,80.7,18.0
Chesterfield County,South Carolina,11836,25927.710843373494,191,45649,418,0.016137208380050623,4.2,39.2,50.82056062609751,6.1,34949,24.3,12.4,30.4,34.8,57.1,265.4,45.44666339123147,20.4,59.8,39.4
Clinton County,Ohio,10410,24804.61303850553,168,41967,400,0.016138328375232196,1.6,6.599999999999998,50.5433614368626,6.1,49453,12.5,15.2,32.5,34.3,436.5,190.1,37.08786874901404,52.7,75.5,22.8
Geauga County,Ohio,16413,17526.081431729115,265,93648,282,0.01614573803603401,1.4,4.199999999999997,50.77480164012993,4.0,72264,9.0,36.0,24.9,27.0,66.3,250.1,21.95462232243517,22.700000000000003,60.6,37.9
Oneida County,Wisconsin,8605,24174.743643770194,139,35594,390,0.016153398998798387,1.4,4.899999999999999,49.6775288526816,5.9,49040,6.9,24.4,21.8,32.8,32.3,312.2,17.144522943960492,14.799999999999995,56.6,41.8
Wayne County,Illinois,5320,32809.12735121801,86,16214,530,0.016165413229973436,1.4,3.599999999999991,50.45567022753335,7.0,46839,13.7,12.5,26.1,29.2,26.2,239.6,33.793211570118366,70.89999999999999,84.89999999999999,14.000000000000002
Newton County,Mississippi,6059,28827.671519649823,98,21017,466,0.01617428591889279,1.8,38.50000000000001,53.1510939030648,6.2,35185,16.6,15.8,35.8,34.8,52.1,203.4,45.27338084126884,40.3,69.6,29.3
St. Clair County,Missouri,2102,22368.841119506225,34,9396,361,0.016175070591100352,1.0,5.500000000000007,49.510429970200086,6.9,33986,18.1,11.7,29.1,28.6,643.2,161.0,34.724957332283054,59.1,79.0,19.9
Webster County,Missouri,9025,22795.00909274601,146,39591,368,0.016177285139309862,2.0,5.500000000000006,48.95894350071889,5.0,41561,14.0,16.0,25.9,33.8,17.8,362.2,30.91979396615158,60.2,79.2,19.0
Kearny County,Kansas,1236,32204.27305888484,20,3837,521,0.016181228464301905,31.0,34.09999999999999,51.20834393284152,3.2,53484,18.9,17.8,25.5,28.7,1149.6,143.9,43.547742708749496,62.30000000000001,80.30000000000001,18.0
Fayette County,Tennessee,11430,27787.907519509885,185,41132,449,0.016185476673792856,2.5,31.700000000000006,50.86180597925565,6.4,56573,12.8,22.7,31.4,31.1,74.8,213.2,26.036323752379108,37.80000000000001,68.30000000000001,30.5
Blount County,Alabama,15005,25948.53526095528,243,57825,420,0.016194601691472167,9.0,12.599999999999987,50.59566129675551,5.4,45567,21.9,12.3,28.0,34.6,88.9,205.3,35.41034507091948,80.00000000000001,89.60000000000001,9.6
Lampasas County,Texas,5556,25928.691431771513,90,21427,420,0.01619870381211836,19.2,27.099999999999984,50.45181458506326,4.4,50699,12.6,21.1,25.1,28.2,13.8,215.8,31.64865577227201,57.2,77.8,20.6
Mississippi County,Missouri,3457,26229.135053110775,56,13179,424,0.016199016019698698,2.0,28.2,46.141132509341766,5.9,30661,27.1,10.1,30.3,31.9,41.8,257.1,55.95072705381124,49.60000000000001,74.4,24.8
Garrard County,Kentucky,4815,27255.74549983018,78,17665,441,0.016199376610604846,2.2,5.6999999999999975,50.9926854754441,5.2,43647,19.3,16.5,29.0,30.5,84.8,234.5,34.27233592628956,56.60000000000001,77.60000000000001,21.0
Dickinson County,Kansas,4815,26074.94855409943,78,18465,422,0.016199376610604846,4.5,8.90000000000001,50.04696795741573,5.3,47493,9.9,18.7,28.0,31.9,3.3,394.0,35.51401869158878,54.1,76.2,22.1
Allen County,Kentucky,6601,30968.801313628897,107,21314,502,0.016209664956678308,1.9,4.599999999999995,50.4217568353694,5.0,39801,23.4,13.3,35.4,33.9,46.0,237.0,39.96922485093288,63.5,81.0,17.5
Armstrong County,Texas,555,29411.76470588235,9,1886,477,0.016216213294375982,10.0,13.400000000000006,49.50751684810783,2.7,55177,10.6,24.4,24.7,27.2,10.0,191.2,25.916055962691537,86.4,93.1,6.7
Jefferson County,Illinois,11159,29612.03693875385,181,37683,480,0.016220091260685625,2.4,14.200000000000008,48.66520673653475,6.8,43073,13.9,15.9,23.8,30.2,19.6,237.7,41.352243632933565,45.19999999999999,71.6,26.4
Cloud County,Kansas,2219,25256.089232870476,36,8785,409,0.016223523378840764,3.2,6.7000000000000055,50.462408878250464,3.9,42697,9.2,17.2,28.1,29.9,13.2,292.5,40.71022727272727,54.8,76.2,21.4
Wichita County,Kansas,493,23265.691363850874,8,2118,377,0.016227177235866686,27.7,30.4,52.75846082522021,3.0,53447,20.1,18.9,30.0,29.4,6.5,293.1,29.545454545454547,68.3,83.6,15.3
Spartanburg County,South Carolina,95357,29819.09720593524,1548,319784,484,0.016233732168342403,6.5,31.200000000000006,51.5245254121156,5.7,44050,17.3,21.9,25.6,30.5,43.9,204.4,31.793050604045938,27.3,62.9,35.6
Auglaize County,Ohio,11642,25499.386718065532,189,45655,413,0.01623432385986666,1.6,4.000000000000005,50.0502424745511,3.7,52650,8.1,18.2,28.2,34.7,128.6,166.7,26.28156748911466,62.5,80.5,18.0
Essex County,New Jersey,222558,27855.439782220972,3614,798974,452,0.016238463674081154,22.4,68.89999999999999,51.95970519776962,6.7,54603,16.2,32.3,25.6,28.7,324.4,202.5,40.75182226794152,-55.10000000000001,22.0,77.10000000000001
Bibb County,Alabama,6457,28833.61614718228,105,22393,468,0.01626142146102801,2.4,25.400000000000016,45.74402125775022,6.6,39546,22.1,10.2,33.9,40.3,36.8,230.3,45.79889027290228,57.7,78.4,20.7
Calaveras County,California,7379,16074.50168826925,120,45904,261,0.01626236595389123,11.5,18.000000000000004,50.524890694009805,6.5,53321,7.5,21.1,19.4,23.5,44.7,258.0,25.33605343319453,24.200000000000003,61.0,36.8
Bottineau County,North Dakota,1598,25437.758675581026,26,6281,413,0.016270336904234236,2.2,7.999999999999999,47.70711171252443,4.3,56965,11.3,17.9,27.7,31.0,0.7,,33.4802606362591,50.5,74.2,23.7
Saline County,Missouri,6269,27542.726593734897,102,22760,448,0.01627053730626037,9.7,18.900000000000013,50.57800956106041,4.7,41112,16.1,18.1,29.7,37.6,1967.2,210.2,43.574558806111575,37.2,67.7,30.5
Cecil County,Maryland,15903,15461.57211608575,259,102854,251,0.01628623519910561,4.1,14.200000000000015,50.32221527886268,6.0,62198,12.6,21.8,27.7,33.7,373.4,195.1,40.63875511366579,27.8,62.8,35.0
Custer County,Oklahoma,7920,27307.519911733267,129,29002,444,0.016287878582223754,17.5,30.700000000000006,49.76173334704652,3.9,45574,14.5,27.3,28.0,30.9,73.6,253.8,48.04898197191312,53.2,75.4,22.2
Clarke County,Iowa,2271,24172.432144757848,37,9394,393,0.016292381493069948,12.7,15.400000000000006,50.361497787849366,4.0,45413,12.3,15.7,23.2,30.5,24.7,230.7,29.59106684774408,35.90000000000001,67.30000000000001,31.4
Butler County,Iowa,3252,22522.335341782673,53,14438,367,0.016297662475471632,1.3,3.200000000000013,50.06072055053299,4.3,52273,8.5,15.5,25.9,33.8,35.2,200.3,28.812962310672773,38.60000000000001,68.60000000000001,30.0
Reagan County,Texas,859,22317.485061054816,14,3848,363,0.016298019057273683,70.1,71.1,46.82730923694779,4.6,62376,39.5,11.0,21.6,27.7,132.4,166.3,48.10710987996307,68.5,83.8,15.3
Montgomery County,Kansas,9448,29683.62185428383,154,31828,483,0.016299745805464165,6.2,19.90000000000001,50.45273884588949,6.5,42221,11.4,16.4,29.2,35.1,9.1,245.1,47.13552114258204,50.2,74.1,23.9
Jasper County,Indiana,9015,26860.735355461537,147,33561,438,0.016306156225111966,5.9,8.299999999999992,50.46639559913896,5.8,55190,12.1,15.3,28.1,29.6,83.2,255.1,37.67095736122285,49.0,73.5,24.5
